request_id,model_name,latency_ms,device_model,app_version,crash_log,user_feedback,device_temperature,battery_percentage
1765855073170,fastvlm_1.5b_stage3,3440,iphone 17 pro max,1.0,,,0,40
1765855082840,fastvlm_1.5b_stage3,3206,iphone 17 pro max,1.0,,,0,40
1765855092792,fastvlm_1.5b_stage3,3519,iphone 17 pro max,1.0,,,0,40
1765855102962,fastvlm_1.5b_stage3,3720,iphone 17 pro max,1.0,,,0,40
1765855113268,fastvlm_1.5b_stage3,3827,iphone 17 pro max,1.0,,,0,40
1765855124192,fastvlm_1.5b_stage3,4333,iphone 17 pro max,1.0,,,0,40
1765855135408,fastvlm_1.5b_stage3,4415,iphone 17 pro max,1.0,,,0,40
1765855146869,fastvlm_1.5b_stage3,4510,iphone 17 pro max,1.0,,,0,40
1765855158526,fastvlm_1.5b_stage3,4582,iphone 17 pro max,1.0,,,0,40
1765855170245,fastvlm_1.5b_stage3,4597,iphone 17 pro max,1.0,,,0,40
1765855182031,fastvlm_1.5b_stage3,4619,iphone 17 pro max,1.0,,,0,40
1765855193875,fastvlm_1.5b_stage3,4642,iphone 17 pro max,1.0,,,0,40
1765855205751,fastvlm_1.5b_stage3,4653,iphone 17 pro max,1.0,,,0,40
1765855217685,fastvlm_1.5b_stage3,4668,iphone 17 pro max,1.0,,,0,40
1765855229678,fastvlm_1.5b_stage3,4695,iphone 17 pro max,1.0,,,1,40
1765855241751,fastvlm_1.5b_stage3,4717,iphone 17 pro max,1.0,,,1,40
1765855254015,fastvlm_1.5b_stage3,4846,iphone 17 pro max,1.0,,,1,40
1765855266285,fastvlm_1.5b_stage3,4797,iphone 17 pro max,1.0,,,1,40
1765855278630,fastvlm_1.5b_stage3,4825,iphone 17 pro max,1.0,,,1,40
1765855291038,fastvlm_1.5b_stage3,4850,iphone 17 pro max,1.0,,,1,40
1765855303508,fastvlm_1.5b_stage3,4885,iphone 17 pro max,1.0,,,1,40
1765855316002,fastvlm_1.5b_stage3,4895,iphone 17 pro max,1.0,,,1,40
1765855328501,fastvlm_1.5b_stage3,4890,iphone 17 pro max,1.0,,,1,40
1765855341034,fastvlm_1.5b_stage3,4924,iphone 17 pro max,1.0,,,1,40
1765855353701,fastvlm_1.5b_stage3,5024,iphone 17 pro max,1.0,,,1,40
1765855366367,fastvlm_1.5b_stage3,4955,iphone 17 pro max,1.0,,,1,40
1765855379025,fastvlm_1.5b_stage3,4856,iphone 17 pro max,1.0,,,1,40
1765855391747,fastvlm_1.5b_stage3,4983,iphone 17 pro max,1.0,,,1,40
1765855404421,fastvlm_1.5b_stage3,4989,iphone 17 pro max,1.0,,,1,40
