request_id,model_name,latency_ms,device_model,app_version,crash_log,user_feedback,device_temperature,battery_percentage,run_id
1766025797211,Qwen2.5-VL-3B-Instruct-4bit,7434,"iPhone18,2",Version 1.0 (Build 1),,testing by HDSVN,0,95,6
1766025803420,Qwen2.5-VL-3B-Instruct-4bit,6199,"iPhone18,2",Version 1.0 (Build 1),,testing by HDSVN,0,95,6
1766025809856,Qwen2.5-VL-3B-Instruct-4bit,6433,"iPhone18,2",Version 1.0 (Build 1),,testing by HDSVN,0,95,6
1766025816519,Qwen2.5-VL-3B-Instruct-4bit,6662,"iPhone18,2",Version 1.0 (Build 1),,testing by HDSVN,0,95,6
1766025823300,Qwen2.5-VL-3B-Instruct-4bit,6778,"iPhone18,2",Version 1.0 (Build 1),,testing by HDSVN,0,95,6
1766025830225,Qwen2.5-VL-3B-Instruct-4bit,6923,"iPhone18,2",Version 1.0 (Build 1),,testing by HDSVN,0,95,6
1766025837242,Qwen2.5-VL-3B-Instruct-4bit,7015,"iPhone18,2",Version 1.0 (Build 1),,testing by HDSVN,0,95,6
1766025844323,Qwen2.5-VL-3B-Instruct-4bit,7079,"iPhone18,2",Version 1.0 (Build 1),,testing by HDSVN,0,95,6
1766025851464,Qwen2.5-VL-3B-Instruct-4bit,7140,"iPhone18,2",Version 1.0 (Build 1),,testing by HDSVN,0,95,6
1766025858751,Qwen2.5-VL-3B-Instruct-4bit,7284,"iPhone18,2",Version 1.0 (Build 1),,testing by HDSVN,0,95,6
1766025866259,Qwen2.5-VL-3B-Instruct-4bit,7506,"iPhone18,2",Version 1.0 (Build 1),,testing by HDSVN,0,95,6
1766025873767,Qwen2.5-VL-3B-Instruct-4bit,7505,"iPhone18,2",Version 1.0 (Build 1),,testing by HDSVN,0,95,6
1766025881401,Qwen2.5-VL-3B-Instruct-4bit,7633,"iPhone18,2",Version 1.0 (Build 1),,testing by HDSVN,0,95,6
1766025889082,Qwen2.5-VL-3B-Instruct-4bit,7679,"iPhone18,2",Version 1.0 (Build 1),,testing by HDSVN,0,95,6
1766025896740,Qwen2.5-VL-3B-Instruct-4bit,7655,"iPhone18,2",Version 1.0 (Build 1),,testing by HDSVN,0,95,6
1766025904549,Qwen2.5-VL-3B-Instruct-4bit,7808,"iPhone18,2",Version 1.0 (Build 1),,testing by HDSVN,0,95,6
1766025912408,Qwen2.5-VL-3B-Instruct-4bit,7857,"iPhone18,2",Version 1.0 (Build 1),,testing by HDSVN,0,95,6
1766025920254,Qwen2.5-VL-3B-Instruct-4bit,7844,"iPhone18,2",Version 1.0 (Build 1),,testing by HDSVN,0,95,6
